"[218, 163, 13, 4, -2]","[218, 163, 12, 6, -2]","[219, 170, 11, 6, -1]"
"[218, 151, 12, 6, -2]","[218, 163, 13, 4, -2]","[218, 163, 12, 6, -2]"
"[218, 151, 12, 6, -2]","[218, 151, 12, 6, -2]","[218, 163, 13, 4, -2]"
"[217, 167, 12, 4.5, -2]","[218, 151, 12, 6, -2]","[218, 151, 12, 6, -2]"
"[216, 142, 10, 4.5, -2]","[217, 167, 12, 4.5, -2]","[218, 151, 12, 6, -2]"
"[216, 142, 11, 4.5, -2]","[216, 142, 10, 4.5, -2]","[217, 167, 12, 4.5, -2]"
"[215, 159, 10, 4.5, -2]","[216, 142, 11, 4.5, -2]","[216, 142, 10, 4.5, -2]"
"[214, 167, 11, 4.5, -2]","[215, 159, 10, 4.5, -2]","[216, 142, 11, 4.5, -2]"
"[214, 162, 9, 4.5, -2]","[214, 167, 11, 4.5, -2]","[215, 159, 10, 4.5, -2]"
"[214, 162, 10, 4.5, -2]","[214, 162, 9, 4.5, -2]","[214, 167, 11, 4.5, -2]"
"[213, 161, 10, 4.5, -2]","[214, 162, 10, 4.5, -2]","[214, 162, 9, 4.5, -2]"
"[213, 161, 11, 4.5, -3]","[213, 161, 10, 4.5, -2]","[214, 162, 10, 4.5, -2]"
"[212, 169, 11, 4.5, -3]","[213, 161, 11, 4.5, -3]","[213, 161, 10, 4.5, -2]"
"[211, 163, 13, 6, -3]","[212, 169, 11, 4.5, -3]","[213, 161, 11, 4.5, -3]"
"[211, 163, 13, 4.5, -3]","[211, 163, 13, 6, -3]","[212, 169, 11, 4.5, -3]"
"[210, 149, 14, 4.5, -3]","[211, 163, 13, 4.5, -3]","[211, 163, 13, 6, -3]"
"[210, 149, 14, 4.5, -3]","[210, 149, 14, 4.5, -3]","[211, 163, 13, 4.5, -3]"
"[210, 149, 14, 4.5, -3]","[210, 149, 14, 4.5, -3]","[210, 149, 14, 4.5, -3]"
"[209, 148, 13, 6, -3]","[210, 149, 14, 4.5, -3]","[210, 149, 14, 4.5, -3]"
"[209, 143, 13, 6, -3]","[209, 148, 13, 6, -3]","[210, 149, 14, 4.5, -3]"
"[209, 122, 9, 6, -3]","[209, 143, 13, 6, -3]","[209, 148, 13, 6, -3]"
"[209, 122, 9, 6, -3]","[209, 122, 9, 6, -3]","[209, 143, 13, 6, -3]"
"[209, 122, 9, 6, -4]","[209, 122, 9, 6, -3]","[209, 122, 9, 6, -3]"
"[208, 127, 7, 6, -4]","[209, 122, 9, 6, -4]","[209, 122, 9, 6, -3]"
"[207, 150, 6, 6, -4]","[208, 127, 7, 6, -4]","[209, 122, 9, 6, -4]"
"[206, 148, 4, 6, -4]","[207, 150, 6, 6, -4]","[208, 127, 7, 6, -4]"
"[206, 160, 4, 6, -4]","[206, 148, 4, 6, -4]","[207, 150, 6, 6, -4]"
"[206, 160, 5, 9, -4]","[206, 160, 4, 6, -4]","[206, 148, 4, 6, -4]"
"[205, 177, 5, 6, -4]","[206, 160, 5, 9, -4]","[206, 160, 4, 6, -4]"
"[205, 177, 6, 6, -4]","[205, 177, 5, 6, -4]","[206, 160, 5, 9, -4]"
"[204, 164, 6, 6, -4]","[205, 177, 6, 6, -4]","[205, 177, 5, 6, -4]"
"[203, 169, 7, 6, -4]","[204, 164, 6, 6, -4]","[205, 177, 6, 6, -4]"
"[203, 169, 7, 6, -4]","[203, 169, 7, 6, -4]","[204, 164, 6, 6, -4]"
"[203, 163, 8, 6, -4]","[203, 169, 7, 6, -4]","[203, 169, 7, 6, -4]"
"[202, 156, 8, 6, -4]","[203, 163, 8, 6, -4]","[203, 169, 7, 6, -4]"
"[201, 155, 9, 6, -4]","[202, 156, 8, 6, -4]","[203, 163, 8, 6, -4]"
"[201, 155, 8, 6, -4]","[201, 155, 9, 6, -4]","[202, 156, 8, 6, -4]"
"[200, 148, 7, 6, -4]","[201, 155, 8, 6, -4]","[201, 155, 9, 6, -4]"
"[200, 148, 8, 6, -4]","[200, 148, 7, 6, -4]","[201, 155, 8, 6, -4]"
"[200, 142, 6, 6, -4]","[200, 148, 8, 6, -4]","[200, 148, 7, 6, -4]"
"[199, 153, 6, 6, -4]","[200, 142, 6, 6, -4]","[200, 148, 8, 6, -4]"
"[199, 153, 5, 6, -4]","[199, 153, 6, 6, -4]","[200, 142, 6, 6, -4]"
"[199, 153, 6, 6, -4]","[199, 153, 5, 6, -4]","[199, 153, 6, 6, -4]"
"[198, 158, 5, 4.5, -5]","[199, 153, 6, 6, -4]","[199, 153, 5, 6, -4]"
"[198, 158, 5, 4.5, -5]","[198, 158, 5, 4.5, -5]","[199, 153, 6, 6, -4]"
"[197, 163, 5, 4.5, -5]","[198, 158, 5, 4.5, -5]","[198, 158, 5, 4.5, -5]"
"[197, 163, 5, 4.5, -5]","[197, 163, 5, 4.5, -5]","[198, 158, 5, 4.5, -5]"
"[197, 170, 6, 4.5, -5]","[197, 163, 5, 4.5, -5]","[197, 163, 5, 4.5, -5]"
"[196, 169, 7, 4.5, -5]","[197, 170, 6, 4.5, -5]","[197, 163, 5, 4.5, -5]"
"[196, 169, 8, 4.5, -5]","[196, 169, 7, 4.5, -5]","[197, 170, 6, 4.5, -5]"
"[195, 163, 10, 4.5, -5]","[196, 169, 8, 4.5, -5]","[196, 169, 7, 4.5, -5]"
"[195, 163, 11, 4.5, -5]","[195, 163, 10, 4.5, -5]","[196, 169, 8, 4.5, -5]"
"[195, 159, 12, 4.5, -5]","[195, 163, 11, 4.5, -5]","[195, 163, 10, 4.5, -5]"
"[194, 144, 13, 4.5, -5]","[195, 159, 12, 4.5, -5]","[195, 163, 11, 4.5, -5]"
"[194, 144, 13, 4.5, -5]","[194, 144, 13, 4.5, -5]","[195, 159, 12, 4.5, -5]"
"[194, 139, 16, 4.5, -5]","[194, 144, 13, 4.5, -5]","[194, 144, 13, 4.5, -5]"
"[193, 129, 16, 4.5, -5]","[194, 139, 16, 4.5, -5]","[194, 144, 13, 4.5, -5]"
"[193, 129, 16, 6, -6]","[193, 129, 16, 4.5, -5]","[194, 139, 16, 4.5, -5]"
"[193, 129, 16, 6, -6]","[193, 129, 16, 6, -6]","[193, 129, 16, 4.5, -5]"
"[192, 90, 15, 6, -6]","[193, 129, 16, 6, -6]","[193, 129, 16, 6, -6]"
"[192, 90, 13, 6, -6]","[192, 90, 15, 6, -6]","[193, 129, 16, 6, -6]"
"[192, 90, 14, 6, -6]","[192, 90, 13, 6, -6]","[192, 90, 15, 6, -6]"
"[192, 96, 10, 2, -6]","[192, 90, 14, 6, -6]","[192, 90, 13, 6, -6]"
"[192, 96, 8, 6, -6]","[192, 96, 10, 2, -6]","[192, 90, 14, 6, -6]"
"[191, 157, 7, 6, -6]","[192, 96, 8, 6, -6]","[192, 96, 10, 2, -6]"
"[191, 157, 7, 6, -6]","[191, 157, 7, 6, -6]","[192, 96, 8, 6, -6]"
